category,manufacturer,model,price,weight,batteryLife,hands,website,image,ipRating,maxRuntime,payload,speed,terrain,purpose,size,features,ageGroup,interactionType,learningFocus,connectivity,video
household,Labrador Systems,Labrador Retriever,"~1,500 USD",~23 kg,~6 hours,,https://www.labradorsystems.com/,images/household/labrador-systems-labrador-retriever.webp,,,,,,,,"Autonomous tray delivery, height adjustable",,,,,https://www.youtube.com/embed/aTOyXBr9VyU
household,Miso Robotics,Flippy,"~30,000 USD",~80 kg,N/A (wall powered),,https://misorobotics.com/,images/household/miso-robotics-flippy.webp,,,,,,,,"Cooking automation, food preparation",,,,,
household,Moley Robotics,Moley Kitchen,"~250,000 USD",N/A (installed),N/A (wall powered),,https://moley.com/,images/image-not-found.webp,,,,,,,,"Robotic kitchen, cooking automation",,,,,
household,Trifo,Lucy,~500 USD,~3.5 kg,~2 hours,,https://www.trifo.com/,images/household/trifo-lucy.webp,,,,,,,,"Vacuum, home security, pet monitoring",,,,,
household,Asus,Zenbo,~600 USD,~10 kg,~4 hours,,https://zenbo.asus.com/,images/household/asus-zenbo.webp,,,,,,,,"Home assistant, entertainment, education",,,,,
household,Temi,Temi,"~2,000 USD",~12 kg,~8 hours,,https://www.robotemi.com/,images/household/temi-temi.webp,,,,,,,,"Video calls, autonomous navigation, voice assistant",,,,,
household,Moxie Robotics,Moxie,"~1,000 USD",~2.5 kg,~4 hours,,https://embodied.com/,images/household/moxie-robotics-moxie.webp,,,,,,,,"Child development, education, companionship",,,,,
household,Tertill,Tertill,~350 USD,~2.5 kg,Solar powered,,https://tertill.com/,images/household/tertill-tertill.webp,,,,,,,,"Autonomous garden weeding, weather resistant",,,,,
household,Aiper,Seagull Pro,~900 USD,~10 kg,~3 hours,,https://www.aiper.com/,images/household/aiper-seagull-pro.webp,,,,,,,,"Cordless pool cleaning, quad-motor system",,,,,https://www.youtube.com/embed/W__zm1a-_oU
household,Ecovacs,Deebot X2 Omni,"~1,500 USD",~4.5 kg,~4 hours,,https://www.ecovacs.com/,images/household/ecovacs-deebot-x2-omni.webp,,,,,,,,"Vacuum and mop, auto-empty, AI obstacle avoidance",,,,,
household,Roborock,S8 Pro Ultra,"~1,600 USD",~4 kg,~3 hours,,https://us.roborock.com/,images/household/roborock-s8-pro-ultra.webp,,,,,,,,"Vacuum and mop, auto-empty, self-cleaning",,,,,
household,iRobot,Roomba Combo j9+,"~1,400 USD",~3.5 kg,~2 hours,,https://www.irobot.com/,images/image-not-found.webp,,,,,,,,"Vacuum and mop, auto-empty, obstacle avoidance",,,,,
household,Dreame,L20 Ultra,"~1,500 USD",~4 kg,~3 hours,,https://www.dreame.tech/,images/household/dreame-l20-ultra.webp,,,,,,,,"Vacuum and mop, auto-empty, AI navigation",,,,,
household,FoldiMate,FoldiMate,"~1,000 USD (estimated)",~65 kg,N/A (wall powered),,https://foldimate.com/,images/image-not-found.webp,,,,,,,,Automatic clothes folding,,,,,
household,Seven Dreamers,Laundroid,Discontinued,~100 kg,N/A (wall powered),,https://sevendreamers.com/,images/household/seven-dreamers-laundroid.webp,,,,,,,,Automatic clothes folding and sorting,,,,,
household,Wilkinson Baking Company,BreadBot,"~100,000 USD",~680 kg,N/A (wall powered),,https://www.wilkinsonbaking.com/,images/household/wilkinson-baking-company-breadbot.webp,,,,,,,,"Autonomous bread making, 10 loaves per hour",,,,,
household,Miele,Scout RX3,~800 USD,~2.8 kg,~2 hours,,https://www.miele.com/,images/household/miele-scout-rx3.webp,,,,,,,,"Vacuum, 3D smart navigation, remote control",,,,,
household,Narwal,Freo,"~1,200 USD",~4.5 kg,~3 hours,,https://narwal.com/,images/household/narwal-freo.webp,,,,,,,,"Vacuum and mop, self-cleaning, AI navigation",,,,,
household,Dyson,360 Vis Nav,"~1,200 USD",~2.6 kg,~2 hours,,https://www.dyson.com/,images/image-not-found.webp,,,,,,,,"Vacuum, HEPA filtration, 360° vision",,,,,
household,Winbot,W1 Pro,~400 USD,~2 kg,~1.5 hours,,https://www.ecovacs.com/,images/household/winbot-w1-pro.webp,,,,,,,,"Window cleaning, AI navigation, safety tethering",,,,,
household,Hobot,Legee 7,~500 USD,~2.5 kg,~1.5 hours,,https://www.hobot.com/,images/image-not-found.webp,,,,,,,,"Floor cleaning, 4-stage cleaning process",,,,,
household,GE Profile,Smart Mixer,"~1,000 USD",~10 kg,N/A (wall powered),,https://www.geappliances.com/,images/household/ge-profile-smart-mixer.webp,,,,,,,,"Auto-sensing, voice control, smart weighing",,,,,https://www.youtube.com/embed/183ysILWQG4
household,Neato,D10,~800 USD,~3.7 kg,~2.5 hours,,https://www.neatorobotics.com/,images/household/neato-d10.webp,,,,,,,,"Vacuum, LIDAR navigation, zone cleaning",,,,,
household,Shark,AI Ultra,~600 USD,~5.9 kg,~2 hours,,https://www.sharkclean.com/,images/household/shark-ai-ultra.webp,,,,,,,,"Vacuum, bagless self-empty, HEPA filtration",,,,,
household,Eufy,X8 Pro,~650 USD,~3.5 kg,~2.5 hours,,https://us.eufy.com/,images/household/eufy-x8-pro.webp,,,,,,,,"Vacuum, twin-turbine technology, AI obstacle avoidance",,,,,
household,Yeedi,Cube,~700 USD,~3.2 kg,~2.5 hours,,https://www.yeedi.com/,images/household/yeedi-cube-2.webp,,,,,,,,"Vacuum and mop, auto-empty, self-cleaning mop",,,,,
household,Aiper,Aiper Horizon U1,$999.00,,,,https://www.aiper.com/,images/household/aiper-aiper-horizon-u1.webp,,,,,,,,"Autonomous mowing, app control",,,,,https://www.youtube.com/embed/W__zm1a-_oU
household,Aiper,Aiper Surfer S1,$599.00,,,,https://www.aiper.com/,images/household/aiper-aiper-surfer-s1.webp,,,,,,,,"Pool surface cleaning, wireless operation",,,,,https://www.youtube.com/embed/W__zm1a-_oU
household,Aiper,Aiper Scuba S1,$799.00,,,,https://www.aiper.com/,images/household/aiper-aiper-scuba-s1.webp,,,,,,,,Pool floor and wall cleaning,,,,,https://www.youtube.com/embed/W__zm1a-_oU
household,Bearbot,Bearbot AquaSense Pro,"$1,199.00",,,,https://www.bearbot.com/,images/household/bearbot-bearbot-aquasense-pro-2.svg,,,,,,,,"Intelligent navigation, pool interior cleaning",,,,,
household,Yarbo,Yarbo Snow Blower,"$2,499.00",,,,https://www.yarbo.com/,images/household/yarbo-yarbo-snow-blower.webp,,,,,,,,"Autonomous snow clearing, GPS navigation",,,,,https://www.youtube.com/embed/8C1kjZNcKtA
household,Yarbo,Yarbo Lawn Mower,"$1,999.00",,,,https://www.yarbo.com/,images/household/yarbo-yarbo-lawn-mower.webp,,,,,,,,"Autonomous mowing, multi-terrain capability",,,,,https://www.youtube.com/embed/8C1kjZNcKtA
household,Yarbo,Yarbo Blower,"$1,499.00",,,,https://www.yarbo.com/,images/household/yarbo-yarbo-blower.webp,,,,,,,,"Autonomous leaf blowing, GPS control",,,,,https://www.youtube.com/embed/8C1kjZNcKtA
household,Gometn,ORo by Gometn,$599.00,,,,https://www.gometn.com/,images/image-not-found.webp,,,,,,,,"Home cleaning, mobile app control",,,,,
household,Samsung,Ballie by Samsung,TBD,,,,https://www.samsung.com/,images/household/samsung-ballie-by-samsung.webp,,,,,,,,"Smart home integration, AI monitoring",,,,,
vacuum,Bissell,SpinWave Robot,~400 USD,~3.5 kg,~1.5 hours,,https://www.bissell.com/,images/image-not-found.webp,,,,,,,,"Vacuum and mop, dual spinning mop pads",,,,,
vacuum,iLife,A11,~400 USD,~2.9 kg,~2 hours,,https://www.iliferobot.com/,images/vacuum/ilife-a11.webp,,,,,,,,"Vacuum and mop, LIDAR navigation, app control",,,,,
vacuum,Kyvol,Cybovac E31,~300 USD,~3 kg,~2.5 hours,,https://kyvol.com/,images/vacuum/kyvol-cybovac-e31.webp,,,,,,,,"Vacuum and mop, gyroptic navigation, app control",,,,,
vacuum,Lefant,M1,~300 USD,~2.8 kg,~2 hours,,https://www.lefantofficial.com/,images/image-not-found.webp,,,,,,,,"Vacuum, FreeMove technology, remote control",,,,,
vacuum,LG,CordZero R9,"~1,200 USD",~4 kg,~2 hours,,https://www.lg.com/,images/vacuum/lg-cordzero-r9.webp,,,,,,,,"Vacuum and mop, AI navigation, auto-empty",,,,,https://www.youtube.com/embed/itr1iWlBjP0
vacuum,Lydsto,R1,~500 USD,~3.3 kg,~2.5 hours,,https://www.lydsto.com/,images/vacuum/lydsto-r1.webp,,,,,,,,"Vacuum and mop, self-emptying, app control",,,,,
vacuum,Neobot,NoMo Q11,550 USD,3.8 kg,3 hours,,https://www.neobotshop.com/,images/image-not-found.webp,,,,,,,,"Vacuum and mop, self-emptying, AI navigation, edge cleaning",,,,,
vacuum,Proscenic,M9,~500 USD,~3.6 kg,~2.5 hours,,https://www.proscenic.com/,images/vacuum/proscenic-m9.webp,,,,,,,,"Vacuum and mop, laser navigation, app control",,,,,
vacuum,Samsung,Jet Bot AI+,"~1,300 USD",~4.4 kg,~1.5 hours,,https://www.samsung.com/,images/vacuum/samsung-jet-bot-ai.webp,,,,,,,,"Vacuum, object recognition, self-emptying",,,,,
vacuum,SwitchBot,S10,1600 USD,4.5 kg,4 hours,,https://www.switch-bot.com/,images/vacuum/switchbot-s10.webp,,,,,,,,"Vacuum and mop, auto-refill water station, RinseSync mopping",,,,,
vacuum,Ultenic,T10,~600 USD,~3.8 kg,~2.5 hours,,https://www.ultenic.com/,images/vacuum/ultenic-t10.webp,,,,,,,,"Vacuum and mop, self-emptying, voice control",,,,,
vacuum,Viomi,V3 Max,~500 USD,~3.6 kg,~3 hours,,https://www.viomi.com/,images/image-not-found.webp,,,,,,,,"Vacuum and mop, laser navigation, app control",,,,,
vacuum,Vorwerk,Kobold VR7,1249 EUR,,~2 hours,,https://www.vorwerk.com/de/de/c/home/produkte/kobold/kobold-vr7-saugroboter,images/vacuum/koboldvr7.webp,,,,,,,,"Suction: 2200pa, Navigation: LIDAR Navigation, Adaptive Cleaning Power",,,,,https://www.youtube.com/embed/7L_QfqygtRM
vacuum,Wyze,Robot Vacuum,~250 USD,~3.1 kg,~2 hours,,https://www.wyze.com/,images/vacuum/wyze-robot-vacuum.webp,,,,,,,,"Vacuum, LIDAR navigation, app control",,,,,
vacuum,Xiaomi,Robot Vacuum X10+,~800 USD,~4.2 kg,~3 hours,,https://www.mi.com/,images/vacuum/xiaomi-robot-vacuum-x10.webp,,,,,,,,"Vacuum and mop, auto-empty, 3D mapping",,,,,
